release_version,profile_id,dataset_id,dataset_kind,samples,decode_count,truth_count,scored_truth_count,wall_seconds,cpu_user_seconds,cpu_system_seconds,cpu_seconds,avg_wall_seconds,avg_cpu_user_seconds,avg_cpu_system_seconds,avg_cpu_seconds,tp,fp,fn,precision,recall,f1
2.0.0,deepest,d9394-ft8-test-wave,unscored,11,36,0,0,16.189411249011755,12.374921,0.33042900000000003,12.70535,1.4717646590010687,1.1249928181818183,0.030039000000000003,1.1550318181818182,0,0,0,,,
2.0.0,deepest,kgoba-ft8-lib,scored,31,396,429,418,53.755593416048214,44.742461,0.940554,45.683015,1.7340514005176844,1.4433051935483872,0.030340451612903226,1.4736456451612903,362,0,56,1.0,0.8660287081339713,0.9282051282051282
2.0.0,medium,d9394-ft8-test-wave,unscored,11,29,0,0,11.017329419963062,8.788058,0.284687,9.072745,1.0015754018148237,0.7989143636363636,0.025880636363636366,0.824795,0,0,0,,,
2.0.0,medium,kgoba-ft8-lib,scored,31,356,429,418,41.013982041273266,33.92138399999999,0.879203,34.80058699999999,1.3230316787507506,1.0942381935483867,0.02836138709677419,1.122599580645161,326,0,92,1.0,0.7799043062200957,0.8763440860215054
2.0.0,quick,d9394-ft8-test-wave,unscored,11,28,0,0,6.46840433194302,5.031282999999999,0.23827399999999999,5.269556999999999,0.5880367574493655,0.45738936363636357,0.021661272727272727,0.47905063636363626,0,0,0,,,
2.0.0,quick,kgoba-ft8-lib,scored,31,296,429,418,19.057397671043873,14.614925999999999,0.874015,15.488940999999997,0.6147547635820604,0.4714492258064516,0.028194032258064515,0.49964325806451604,267,0,151,1.0,0.638755980861244,0.7795620437956204
2.0.1,deepest,d9394-ft8-test-wave,unscored,11,36,0,0,14.481400708202273,12.350109000000002,0.313234,12.663343,1.316490973472934,1.122737181818182,0.028475818181818182,1.151213,0,0,0,,,
2.0.1,deepest,kgoba-ft8-lib,scored,31,396,429,418,52.563744539394975,44.806539,0.9813310000000002,45.787870000000005,1.6956046625611283,1.4453722258064516,0.03165583870967743,1.4770280645161291,362,0,56,1.0,0.8660287081339713,0.9282051282051282
2.0.1,medium,d9394-ft8-test-wave,unscored,11,29,0,0,10.5534081638325,8.779631,0.283153,9.062784,0.959400742166591,0.7981482727272727,0.025741181818181816,0.8238894545454546,0,0,0,,,
2.0.1,medium,kgoba-ft8-lib,scored,31,356,429,418,40.45419279439375,34.183029999999995,0.8732400000000001,35.05627,1.3049739611094757,1.102678387096774,0.02816903225806452,1.1308474193548386,326,0,92,1.0,0.7799043062200957,0.8763440860215054
2.0.1,quick,d9394-ft8-test-wave,unscored,11,28,0,0,6.810757042141631,5.068991,0.235701,5.304691999999999,0.6191597311037846,0.4608173636363636,0.021427363636363637,0.4822447272727272,0,0,0,,,
2.0.1,quick,kgoba-ft8-lib,scored,31,296,429,418,20.274152125697583,14.701704000000001,0.7171779999999998,15.418882,0.6540049072805671,0.4742485161290323,0.02313477419354838,0.49738329032258066,267,0,151,1.0,0.638755980861244,0.7795620437956204
2.1.0,deepest,d9394-ft8-test-wave,unscored,11,36,0,0,14.718106916872784,12.548548,0.410141,12.958689,1.3380097197157077,1.1407770909090909,0.03728554545454545,1.1780626363636364,0,0,0,,,
2.1.0,deepest,kgoba-ft8-lib,scored,31,392,429,418,53.317808207822964,45.113778,1.2327439999999998,46.34652200000001,1.7199292970265472,1.4552831612903228,0.03976593548387096,1.4950490967741938,358,0,60,1.0,0.8564593301435407,0.9226804123711341
2.1.0,medium,d9394-ft8-test-wave,unscored,11,29,0,0,12.922096290858462,9.074270999999998,0.373324,9.447595,1.1747360264416784,0.8249337272727271,0.03393854545454545,0.8588722727272727,0,0,0,,,
2.1.0,medium,kgoba-ft8-lib,scored,31,355,429,418,41.03368958015926,34.653431999999995,1.0573599999999999,35.710792,1.3236674058115891,1.1178526451612902,0.03410838709677419,1.1519610322580645,325,0,93,1.0,0.777511961722488,0.8748317631224765
2.1.0,quick,d9394-ft8-test-wave,unscored,11,28,0,0,6.671309502096847,5.33578,0.3336,5.669379999999999,0.6064826820088043,0.48507090909090905,0.030327272727272727,0.5153981818181818,0,0,0,,,
2.1.0,quick,kgoba-ft8-lib,scored,31,296,429,418,19.370159041136503,15.573247999999998,0.9222680000000001,16.495516,0.6248438400366614,0.5023628387096774,0.029750580645161295,0.5321134193548387,267,0,151,1.0,0.638755980861244,0.7795620437956204
2.1.1,deepest,d9394-ft8-test-wave,unscored,11,36,0,0,14.107320334296674,12.374252000000002,0.307567,12.681819,1.282483666754243,1.1249320000000003,0.02796063636363636,1.1528926363636365,0,0,0,,,
2.1.1,deepest,kgoba-ft8-lib,scored,31,392,429,418,51.28785275132395,44.58890799999999,0.94488,45.533787999999994,1.654446862945934,1.4383518709677416,0.03048,1.4688318709677417,358,0,60,1.0,0.8564593301435407,0.9226804123711341
2.1.1,medium,d9394-ft8-test-wave,unscored,11,29,0,0,10.688324332935736,8.859929,0.29896899999999993,9.158897999999999,0.9716658484487032,0.8054480909090909,0.027178999999999995,0.8326270909090908,0,0,0,,,
2.1.1,medium,kgoba-ft8-lib,scored,31,355,429,418,39.227498792577535,33.97115399999999,0.89586,34.867014,1.2654031868573399,1.0958436774193545,0.028898709677419355,1.124742387096774,325,0,93,1.0,0.777511961722488,0.8748317631224765
2.1.1,quick,d9394-ft8-test-wave,unscored,11,28,0,0,6.232012709602714,5.034586999999999,0.24303099999999997,5.2776179999999995,0.5665466099638831,0.4576897272727272,0.02209372727272727,0.4797834545454545,0,0,0,,,
